Tweeter,Mounting hole (mm),Sensitivity 2.83V (dB),Lowest Crossover (Hz),Distortion,3rd Harmonic,Frequency response,High Rez,Off axis,,Impulse,IMD,Price
,,,,,,,,Split Hz,16kHz +/-,,,
Alpine DDDrive DDC-R13F,,78,3000,,,,,8.7,4,,,
Alpine R2,51,86,7500,,,,+,5.3,4.3,,,
Alpine SPX 1in,,88.6,2000,,,,+,7,4.7,,,
Alpine SPX 2in,,85.2,5000,,,,,5.7,7.5,,,
Audio Ace Club,46,90,1800,,,,,4.2,8,,,
Audio Dynamics  M1,43,91,2500,,,,,4.2,0,,,
China AMT Square,,88.5,4000,,,,,10,5,,,
China ribbon small,,86.3,10000,,,,,6.8,1,,,
Dayton Audio AMT mini 8,41,85.3,9000,,,,+,5.8,1,,,
Dayton Audio AMT mini 8 FAKE,41,87.5,8500,,,,,6.1,1.5,,,
Dayton Audio AMT2-4,65,92.2,2500,,,,,8.4,6.5,,,
Dayton Audio AMTPOD-4 ,47,89.2,12000,,,,+,6.2,5,,,
Dayton Audio AN25F-4,44,91.8,2000,,,,,5.5,5.8,,,
Dayton Audio ND16AF-6,,85,5000,,,,,4.3,2.9,,,
Dayton Audio ND25TA,,89.3,2500,,,,,3.5,2.2,,,
DS18 EXL-TW2.5,53,85,3000,,,,,4.2,3,,,
DS18 TX1R,51,85.1,4000,,,,,5.6,4,,,
DS18 ZXI-T1,49,89.2,4000,,,,,5.6,?,,,
Dynaudio Becker,,87,2000,,,,,4.4,8.5,,,
Dynaudio Melo David,,86.8,1800,,,,,5.4,7,,,
Edge EDBX1PT,43,91.5,7000,,,,,6,0,,,
Edge EDS1SQTN-1E,43,93.5,7000,,,,,5.7,16,,,
Focal Access,40,91.2,5000,,,,,4.8,4.1,,,
Genesis Audiophile,44,86.2,5000,,,,,4,5.2,,,
Ground Zero GZNT 22SQ,44,84.5,1800,,,,,5.8,3.6,,,
Helix Ci5,42,89.2,2200,,,,,5.6,2,,,
Hertz HT25,,87.2,8000,,,,,7.5,6.1,,,
Hybrid Audio Clarus,45,90,3000,,,,,5.4,2.5,,,
Hybrid Audio Legatia Pro L1,48,86.5,3500,,,,,4.3,8.5,,,
Illusion Audio Carbon,43,88.2,2500,,,,,5.6,5,,,
Infinity EMIT,,91.4,9000,,,,,?,5.5,,,
Kicker CS,42,89,2500,,,,,5.7,5.2,,,
Kicker KS,42,91.3,7000,,,,,8,9,,,
MB Quart QTD25,44,86.5,2000,,,,,5.7,6,,,
Mundorf U60S-PS1.1,,88.2,1500,,,,+,10,3,,,
Musway MG6.2T,44,88.5,2200,,,,,5.8,4.2,,,
OEM BMW Harman Kardon,,86.3,3000,,,,,4.4,2.6,,,
OEM Bose Seirra Denali 2006,,76.7,5000,,,,,5.6,0.8,,,
OEM Bose silver GM 16-16,,86.6,4500,,,,,5.6,1.5,,,
OEM HK long Yukon Denali 2021,,87.7,4000,,,,,8,3.9,,,
OEM JBL J3 Camry 18-24,,89.5,3000,,,,,5.9,6.2,,,
Oz audio ,,84,3000,,,,,8.7,7,,,
Peerless BC25SC08-04,44,96.6,2000,,,,,3.1,13,,,
Pioneer TS-A301TW,42,85,3500,,,,,5.7,8,,,
Pioneer TS-V017A ,,98.5,3500,,,,,5.5,8,,,
Power Acoustik NB-1,39,94.2,5000,,,,,8.6,13,,,
PRV TW100SD-4,48,86.2,3000,,,,,5.2,15,,,
Recoil RDT1,49,85.2,2500,,,,,5.5,2.5,,,
Recoil RLT250,72,93.6,5000,,,,,4.3,10.5,,,
Recoil RPT28,48,89.3,3000,,,,,4.1,5.4,,,
Recoil TW2550,47,101.6,5000,,,,,5.3,8.5,,,
Rogue Audio R1TK-S,44,86.2,3000,,,,,5.4,2.5,,,
SB21SDCN-C000-4,37,86.7,3500,,,,,4.1,2.8,,,
SB26STAC-C000-4,70,87.8,1000,,,,,2.5,4.5,,,
SB29RDNC-C000-4,56,91.8,2500,,,,+,3,10.5,,,
Scanspeak D3004/606200 TPCD,50,87.8,2000,,,,+,3.4,7,,,
Seas H1396-04 27TFFNC/G,46,88,2000,,,,,5.5,9,,,
Seas PT 27F L0005-06S,46,87,1800,,,,,5.5,6.3,,,
Seas RT 27F L0004-06S,46,86.2,1500,,,,,5.5,7.8,,,
Sette AMT (Temu),,90,7000,,,,,?,4,,,
Steg ST650C,43,89,2000,,,,,5.9,6,,,
Stereo Integrity M22 ,42,90.2,5500,,,,,5.5,8.2,,,
Stereo Integrity M25,52,90,3500,,,,,4.4,6,,,
Stevens Audio SA1 ,48,87.8,4000,,,,,4.3,9.5,,,
Tectonic TEBM35C10-4 BMR,,78,2000,,,,,3.5,4,,,
US Amps Timbre Signature,50,89.1,1800,,,,,4.7,1.5,,,
Vibe Black Air 1TW,40,89.3,3200,,,,,5.8,6.5,,,
Vibe CVEN silver series,49,90,2200,,,,,4.2,3.5,,,
Vibe Slick1-V4,44,87,4000,,,,,5.3,1.7,,,
Vifa BC25SC15-04,44,90.2,2000,,,,,2.9,6,,,
Vifa NE19VTS-04,36,86.6,4500,,,,+,4.7,0,,,
